algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
quick-dual-pivot,128,63,512,0.5792694091796875,0.390625,0.8462721056706735,0.1162109375,0.5792694091796875,0.390625,0.8462721056706735,0.1162109375,0.6236297198538368
quick-dual-pivot,128,63,821,0.35615864799025587,0.6328125,0.9350876024120139,0.07247259439707673,0.35615864799025587,0.6328125,0.9350876024120139,0.07247259439707673,1.0
quick-dual-pivot,128,64,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.001081081081081081
quick-dual-pivot,128,64,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002162162162162162
quick-dual-pivot,128,64,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004324324324324324
quick-dual-pivot,128,64,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.008648648648648649
quick-dual-pivot,128,64,16,0.94921875,0.0546875,0.42468408302108557,0.3125,0.94921875,0.0546875,0.42468408302108557,0.3125,0.017297297297297298
quick-dual-pivot,128,64,32,0.91796875,0.09375,0.49629015857122916,0.28125,0.91796875,0.09375,0.49629015857122916,0.28125,0.034594594594594595
quick-dual-pivot,128,64,64,0.8551025390625,0.1640625,0.5706120273869093,0.2734375,0.8551025390625,0.1640625,0.5706120273869093,0.2734375,0.06918918918918919
quick-dual-pivot,128,64,128,0.72955322265625,0.3125,0.6440281120233242,0.26953125,0.72955322265625,0.3125,0.6440281120233242,0.26953125,0.13837837837837838
quick-dual-pivot,128,64,256,0.537994384765625,0.546875,0.7284757584184478,0.248046875,0.537994384765625,0.546875,0.7284757584184478,0.248046875,0.27675675675675676
quick-dual-pivot,128,64,512,0.5694427490234375,0.4453125,0.8238505314012129,0.1240234375,0.5694427490234375,0.4453125,0.8238505314012129,0.1240234375,0.5535135135135135
quick-dual-pivot,128,64,925,0.38521959459459465,0.609375,0.9203430303094059,0.06864864864864866,0.38521959459459465,0.609375,0.9203430303094059,0.06864864864864866,1.0
quick-dual-pivot,128,65,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0012970168612191958
quick-dual-pivot,128,65,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.0025940337224383916
quick-dual-pivot,128,65,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.005188067444876783
quick-dual-pivot,128,65,8,0.9658203125,0.03125,0.3427710671925285,0.3125,0.9658203125,0.03125,0.3427710671925285,0.3125,0.010376134889753566
quick-dual-pivot,128,65,16,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.94970703125,0.0546875,0.4172797990491928,0.28125,0.020752269779507133
quick-dual-pivot,128,65,32,0.916015625,0.09375,0.5032493789428987,0.3125,0.916015625,0.09375,0.5032493789428987,0.3125,0.041504539559014265
quick-dual-pivot,128,65,64,0.8536376953125,0.1640625,0.5743797853282546,0.2890625,0.8536376953125,0.1640625,0.5743797853282546,0.2890625,0.08300907911802853
quick-dual-pivot,128,65,128,0.72430419921875,0.3125,0.6500730644902537,0.28515625,0.72430419921875,0.3125,0.6500730644902537,0.28515625,0.16601815823605706
quick-dual-pivot,128,65,256,0.596466064453125,0.4609375,0.7430371952841118,0.244140625,0.596466064453125,0.4609375,0.7430371952841118,0.244140625,0.3320363164721141
quick-dual-pivot,128,65,512,0.579254150390625,0.40625,0.8477445244438255,0.1220703125,0.579254150390625,0.40625,0.8477445244438255,0.1220703125,0.6640726329442282
quick-dual-pivot,128,65,771,0.3516840953307394,0.640625,0.9319197629775311,0.08106355382619974,0.3516840953307394,0.640625,0.9319197629775311,0.08106355382619974,1.0
quick-dual-pivot,128,66,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0013192612137203166
quick-dual-pivot,128,66,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002638522427440633
quick-dual-pivot,128,66,4,0.97265625,0.03125,0.2857142857142857,0.5,0.97265625,0.03125,0.2857142857142857,0.5,0.005277044854881266
quick-dual-pivot,128,66,8,0.96484375,0.03125,0.3547797990491928,0.375,0.96484375,0.03125,0.3547797990491928,0.375,0.010554089709762533
quick-dual-pivot,128,66,16,0.947265625,0.0546875,0.4336126544496569,0.3125,0.947265625,0.0546875,0.4336126544496569,0.3125,0.021108179419525065
quick-dual-pivot,128,66,32,0.916015625,0.09375,0.5032493789428986,0.3125,0.916015625,0.09375,0.5032493789428986,0.3125,0.04221635883905013
quick-dual-pivot,128,66,64,0.8492431640625,0.1640625,0.5810762138996833,0.2890625,0.8492431640625,0.1640625,0.5810762138996833,0.2890625,0.08443271767810026
quick-dual-pivot,128,66,128,0.71661376953125,0.3125,0.6545951847227442,0.30078125,0.71661376953125,0.3125,0.6545951847227442,0.30078125,0.16886543535620052
